date,region,lat,lon,species_id,gbif_key,basis_of_record,coordinate_uncertainty_m,cell,distance_km,location_id,score,effort_percentile
2026-07-26,NE,63.726276,11.297554,mushroom,6454528342,HUMAN_OBSERVATION,100.0,353:37,1.3113744251165325,Levanger_63.720_11.275,6.15,0.6908898930374062
2026-07-25,NE,61.28866,17.1161,mushroom,6454714470,HUMAN_OBSERVATION,10.0,340:57,3.222149639741704,Soderhamn_61.260_17.125,4.84,0.4051993916676475
2026-07-29,NE,61.17605,13.98802,mushroom,6454762456,HUMAN_OBSERVATION,897.0,339:46,2.7530065605216185,Katilla_61.200_13.975,5.76,0.5337837837837832
2026-07-17,NE,55.98217,12.305975,mushroom,6467790469,HUMAN_OBSERVATION,75.0,310:41,1.207890157502207,Nødebo_55.980_12.325,6.18,0.7149857084524311
2026-07-02,NE,56.808008,9.74195,mushroom,6467791342,HUMAN_OBSERVATION,6.0,315:32,2.41337785919496,Skørping_56.820_9.775,6.42,0.9092845913737054
2026-07-29,NE,55.775689,12.497386,mushroom,6467801323,HUMAN_OBSERVATION,36.0,309:41,3.04408667755336,Stavnsholt_55.800_12.475,6.26,0.7567567567567565
2026-07-14,NE,55.808923,12.528422,mushroom,6467822378,HUMAN_OBSERVATION,50.0,309:41,1.6741784991215025,Trørød_55.800_12.550,5.92,0.5763921642612347
2026-07-18,NE,56.009035,12.299109,mushroom,6467824326,HUMAN_OBSERVATION,25.0,310:41,3.6077705770472575,Nødebo_55.980_12.325,6.32,0.8239667466459406
2026-07-14,NE,56.037312,12.070541,mushroom,6467829442,HUMAN_OBSERVATION,25.0,311:40,1.854162661071241,Helsinge_56.040_12.100,6.55,0.7247429487784192
2026-07-19,NE,55.982778,12.385025,mushroom,6467850361,HUMAN_OBSERVATION,75.0,310:41,0.9814643780323598,Fredensborg_55.980_12.400,6.42,0.801630733561719
2026-07-11,NE,55.039382,10.539873,mushroom,6467853349,HUMAN_OBSERVATION,5.0,305:35,4.614770010578574,Svendborg_55.080_10.525,7.88,0.9665333120385825
2026-07-19,NE,56.036392,9.488915,mushroom,6467872335,HUMAN_OBSERVATION,41.0,311:31,0.9529399510386108,Virklund_56.040_9.475,6.42,0.801630733561719
2026-07-18,NE,56.031292,12.580525,mushroom,6467873347,HUMAN_OBSERVATION,15.0,310:42,2.1291900177997896,Hellebæk_56.040_12.550,7.23,0.9160330280603342
2026-07-05,NE,55.803036,12.467359,mushroom,6467887315,HUMAN_OBSERVATION,5.0,309:41,0.584825280082494,Stavnsholt_55.800_12.475,5.36,0.5665085252594938
2026-07-21,NE,62.146498,25.77517,mushroom,6469787631,HUMAN_OBSERVATION,13.0,344:86,1.990776266250565,Muurame_62.160_25.750,5.67,0.4685628742514957
2026-07-23,NE,60.354564,25.48838,mushroom,6469851160,HUMAN_OBSERVATION,11.0,334:85,2.1027059943425965,Porvoo_60.360_25.525,6.05,0.6558812133508709
2026-07-24,NE,60.353744,25.488907,mushroom,6470655958,HUMAN_OBSERVATION,162.0,334:85,2.1033577280764764,Porvoo_60.360_25.525,6.02,0.6420378294125791
2026-07-24,NE,54.475898,24.788571,mushroom,6470699696,HUMAN_OBSERVATION,7.0,302:82,0.9883183400721292,Rudiskes_54.480_24.775,7.33,0.9149861284129825
2026-07-28,NE,57.00165,14.58329,mushroom,6473110372,HUMAN_OBSERVATION,75.0,316:48,0.5345158158915259,Vaxjo_57.000_14.575,5.68,0.39655172413793066
2026-07-24,NE,63.44885,16.88741,mushroom,6473448422,HUMAN_OBSERVATION,150.0,352:56,3.268502299755566,Nasaker_63.420_16.900,5.8,0.5905775514993954
2026-08-03,NE,56.171074,9.534554,mushroom,6467793386,HUMAN_OBSERVATION,4.0,311:31,1.5591039720774518,Silkeborg_56.160_9.550,4.47,0.24615384615384622
2026-08-02,NE,56.147852,9.535738,mushroom,6467812448,HUMAN_OBSERVATION,6.0,311:31,1.6139450000108448,Silkeborg_56.160_9.550,4.18,0.14864864864864843
2026-08-01,NE,56.787575,9.735926,mushroom,6467814383,HUMAN_OBSERVATION,18.0,315:32,3.767363745404478,Aars_56.760_9.700,5.63,0.36206896551724055
2026-08-01,NE,55.564928,11.890419,mushroom,6467882431,HUMAN_OBSERVATION,5.0,308:39,1.11370571732763,Hvalso_55.560_11.875,6.13,0.5057471264367808
2026-08-04,NE,55.995261,12.349388,mushroom,6471784307,HUMAN_OBSERVATION,25.0,310:41,2.2761098269679088,Nødebo_55.980_12.325,6.22,0.5223880597014928
