region,lat,lon,species_id,gbif_key,basis_of_record,coordinate_uncertainty_m,cell,distance_km,score,effort_percentile,Date,Location_Id,new_mushroom_score,new_black_chant_score,new_parasol_score,new_morel_score,new_st_george_score,new_chant_score,date,old_score,new_score,score_delta,old_percentile,new_percentile,percentile_delta
NE,62.00378,16.92439,chant,6443947373,HUMAN_OBSERVATION,10.0,344:56,2.934939558719856,5.74,0.561365051083793,2026-07-19,Slatterna_61.980_16.900,5.919293433337936,3.449919220826145,5.500740579793506,2.84788294682564,3.4838811397897995,6.572896314213173,2026-07-19,5.74,6.572896314213173,0.8328963142131727,0.561365051083793,0.54094971443116,-0.020415336652632954
NE,57.6024,16.71228,chant,6444114325,HUMAN_OBSERVATION,400.0,319:55,9.641987990392588,6.43,0.6726923120210752,2026-07-19,Imbramala_57.540_16.600,7.526326395017917,3.8640873174665686,6.237728510240677,2.926288965559164,3.532691784921355,6.884326724006153,2026-07-19,6.43,6.884326724006153,0.4543267240061537,0.6726923120210752,0.6185342271373934,-0.05415808488368179
NE,57.40653,16.46127,chant,6444421325,HUMAN_OBSERVATION,25.0,318:54,1.6428400267025876,6.43,0.6726923120210752,2026-07-19,Oskarshamn_57.420_16.450,7.526326395017916,3.8640873174665678,6.237728510240677,2.9262889655591637,3.532691784921355,6.884326724006152,2026-07-19,6.43,6.884326724006152,0.4543267240061519,0.6726923120210752,0.6129466531262788,-0.05974565889479633
NE,57.67958,11.95547,chant,6444571321,HUMAN_OBSERVATION,25.0,320:39,2.2013650415012966,5.44,0.446383967164908,2026-07-22,Goteborg_57.660_11.950,6.527997427684894,3.4199025117580555,5.62326415226313,2.6597619503857515,3.2080529564460796,6.159911491009496,2026-07-22,5.44,6.159911491009496,0.7199114910094959,0.446383967164908,0.437617377670949,-0.008766589493959032
NE,63.29901,18.50746,chant,6444622377,HUMAN_OBSERVATION,250.0,351:61,1.6255281544586653,6.61,0.7342047085288743,2026-07-20,Ornskoldsvik_63.300_18.475,6.042483602971801,3.6781168782062155,5.6928682058206155,3.0909968792547655,3.7771264248273697,6.970768398122932,2026-07-20,6.61,6.970768398122932,0.36076839812293127,0.7342047085288743,0.602228212388007,-0.13197649614086737
NE,58.209229,8.141117,chant,6444793334,HUMAN_OBSERVATION,100.0,323:27,1.3945381162509598,4.37,0.2769468165655507,2026-07-05,Tveit_58.200_8.125,5.609122737606671,2.8991852900181394,5.390368495687604,2.510902364794473,3.096501677201759,5.920000847078539,2026-07-05,4.37,5.920000847078539,1.5500008470785387,0.2769468165655507,0.20398196868480561,-0.07296484788074509
NE,66.241569,14.081433,chant,6444817386,HUMAN_OBSERVATION,50.0,367:47,1.4189590616984895,7.18,0.9676436400526136,2026-07-23,Hauknes_66.240_14.050,6.386618641015029,5.008098089922261,5.235369317794517,4.238288552197426,4.988027712174737,7.615288508758625,2026-07-23,7.18,7.615288508758625,0.43528850875862535,0.9676436400526136,0.9602840512660294,-0.007359588786584159
NE,60.271985,5.302027,chant,6444818498,HUMAN_OBSERVATION,1214.0,334:17,3.4529723420739478,8.57,0.9868624283203438,2026-07-17,Flesland_60.300_5.275,6.4923188134236325,4.459448591891321,5.351673331414753,3.8925610403360524,4.489992375075011,8.489069747467656,2026-07-17,8.57,8.489069747467656,-0.08093025253234387,0.9868624283203438,0.9816073996484812,-0.0052550286718625605
NE,58.830685,5.829851,chant,6444833381,HUMAN_OBSERVATION,17.0,326:19,3.6843482206291474,4.28,0.1078764134876358,2026-07-24,Sviland_58.860_5.800,6.070351489749995,3.9439584472140585,5.250651680030568,3.385246061511006,3.749512186365105,7.097050582236211,2026-07-24,4.28,7.097050582236211,2.8170505822362104,0.1078764134876358,0.8853442620977695,0.7774678486101337
NE,60.219629,5.275554,chant,6444837541,HUMAN_OBSERVATION,1308.0,334:17,2.2653614796519115,5.63,0.4477306867151646,2026-07-22,Krokeide_60.240_5.275,6.293395692790392,4.397749295429754,5.278516637178955,3.735313945030181,4.305234675470422,7.950527929369968,2026-07-22,5.63,7.950527929369968,2.320527929369968,0.4477306867151646,0.9332469953412605,0.48551630862609596
